Elevation,town,Annual Precipitation,Annual Snow,Average Temp (F)
3,ABERDEEN,8447,3,51.2
132.6,ABERDEEN 20NNE,13060,114,49.3
6.1,ANACORTES,2783,24,52
712,APPLETON,3200,0,46.5
30.5,ARLINGTON,4727,56,0
1037.2,ASOTIN 14 SW,1543,118,0
234.7,BARING,10668,493,49.9
86.6,BATTLE GROUND,5260,17,51.4
4.6,BELLINGHAM 3 SSW,3525,36,51.7
919,BICKLETON,1311,312,46.3
18.3,BLAINE,4100,92,51.2
559.9,BOUNDARY DAM,2812,559,45.7
33.5,BREMERTON,5637,35,51.9
208.8,BUCKLEY 1 NE,4780,55,52.2
345.6,CARSON FISH HATCHERY,0,0,47.8
54.9,CATHLAMET 6NE,7938,57,0
475.5,CEDAR LAKE,9739,392,46.6
56.4,CENTRALIA,4704,0,52.8
335,CHELAN,1139,219,50.7
509,CHEWELAH,2053,353,45.7
254.2,CHIEF JOSEPH DAM,1084,288,51
42.7,CHIMACUM 4 S,2878,4,0
19.5,CLEARBROOK,4685,73,50.7
24.4,CLEARWATER,10891,3,49.9
579.1,CLE ELUM,2227,0,46.6
603.5,COLFAX,1979,272,48.5
495.9,COLVILLE,1984,459,49.1
703.8,CONCONULLY,0,0,46.4
59.4,CONCRETE PPL FISH STN,7042,166,50.5
310.9,CONNELL 1 W,862,0,51.3
328.6,CONNELL 12 SE,1019,0,0
200.9,COUGAR 6 E,11274,155,52.4
524,COULEE DAM 1 SW,1079,0,49.6
15.2,COUPEVILLE 1 S,2145,36,51.4
6.4,CUSHMAN POWERHOUSE 2,8984,50,50.8
167.6,DARRINGTON RS,8130,0,51.1
729.4,DAVENPORT,1389,306,45.2
474.6,DAYTON 1 WSW,1907,161,50.9
271.6,DIABLO DAM,7719,449,48.9
79.2,DOTY 3 E,5260,36,0
661.4,EASTON,4553,0,45
451.1,ELLENSBURG,896,211,47.8
519.7,ELLENSBURG #2,905,0,0
21.3,ELMA,6904,25,52.4
213.4,ELTOPIA 8 WSW,936,0,51.3
109.7,ELWHA RS,5590,53,48.8
313,ENTIAT FISH HATCHERY,1314,403,49.1
18.3,EVERETT,3844,0,51.7
106.7,FORKS 1 E,11972,80,50.1
256,GLENOMA,6702,95,49.4
579.7,GLENWOOD #2,3137,575,45.8
499.9,GOLDENDALE,1722,235,48.2
518.2,GOLDENDALE,1531,29,48
15.5,GRAPEVIEW 3 SW,5488,0,52
3,GRAYLAND,7501,0,50.6
30.5,GRAYS RIVER HATCHERY,10562,32,51.1
658.4,HARRINGTON 1 NW,1274,253,46
582.2,HARTLINE,0,0,49
458.7,HATTON 9 SE,1039,127,51.5
980.8,HOLDEN VILLAGE,3942,2627,41
42.7,HUMPTULIPS SALMON HTCH,11562,25,48.8
112.2,ICE HARBOR DAM,1105,31,53.8
60,INDIAN SUMMER GLF CRSE,5055,0,0
473,KAHLOTUS 5 SSW,1051,0,0
94.5,KALAMA FALLS HATCHERY,6681,0,0
118.9,KENNEWICK,773,11,54.7
9.1,KENT,3914,0,53.1
449.9,LACROSSE,1503,151,50
623.6,LAKE WENATCHEE,3367,0,49.9
163.1,LANDSBURG,5723,38,0
343.8,LEAVENWORTH 3 S,2503,798,48.2
496.8,LIND 3 NE,977,144,49.9
7.6,LONG BEACH EXP STN,7865,6,50.1
841.9,LONGMIRE RAINIER NPS,7991,1399,43.8
3.7,LONGVIEW,4798,0,52.7
33.5,MATLOCK 8 S,8705,25,0
85.3,MAYFIELD PWR PLT,5640,9,0
641.9,MAZAMA,2241,1145,44.6
176.5,MC MILLIN RSVR,4349,48,50.6
110,MCNARY DAM,820,10,53.8
68.3,MERWIN DAM,6906,32,0
345.9,METHOW 2 S,1319,436,48.9
358.1,MILL CREEK DAM,1868,98,0
36.6,MONROE,4877,25,51.6
594.4,MT ADAMS RS,4589,0,47.2
4.3,MT VERNON 3 WNW,3320,0,51.2
472.4,MOXEE CITY 10 E,803,115,49.6
398.7,MUD MTN DAM,5778,50,49.4
15.2,NASELLE 2 ENE,11201,25,0
160,NEWHALEM,7657,259,49.7
659,NEWPORT,2687,529,44.8
450.2,NORTHPORT,2075,463,49.9
24.4,OAKVILLE,5507,24,51.4
470,ODESSA,1096,146,49.8
24.4,OLGA 2 SE,2816,53,50.4
362.7,OTHELLO 6 ESE,825,0,49.6
323.1,PACKWOOD,5600,300,50.6
280.4,PALMER 3 ESE,8573,157,49.9
590.1,PLAIN,2739,1198,45.6
589.5,POMEROY,1727,0,48.8
27.4,PORT ANGELES,2529,0,49.9
30.5,PORT TOWNSEND,1904,24,51.8
140.2,PRIEST RAPIDS DAM,742,36,55.4
253,PROSSER,894,30,53.6
766.6,PULLMAN 2 NW,2035,352,47.7
15.2,PUYALLUP 2 W EXP STN,4042,29,52.4
37.5,QUILCENE 2 SW,0,0,50.7
388.3,QUINCY 1 S,786,0,50.6
594.4,RAINIER OHANAPECOSH,7398,1103,0
1654.1,RAINIER PARADISE RS,11830,6708,38.6
274.3,RANDLE 1 E,5710,0,0
9.1,RAYMOND 2 S,8343,7,49.3
798.6,REPUBLIC,1694,437,43.9
113.7,RICHLAND,762,64,53.1
566.9,RITZVILLE 1 SSE,1238,199,48.4
733,ROSALIA,1734,249,47.1
376.7,ROSS DAM,5761,577,48.9
595,ST. JOHN,1730,248,49.2
231.6,SAPPHO 8 E,0,0,49.8
787.9,SATUS PASS 2 SSW,2096,0,46.1
18.3,SEDRO WOOLLEY,4649,63,51.4
341.4,SELAH 2 NE,863,0,49.6
15.2,SEQUIM 2 E,1602,0,48.8
6.7,SHELTON,6588,0,51
449.6,SILVERTON,0,0,47.3
134.1,SKAMANIA FISH HATCHRY,8404,71,49.5
170.7,SMYRNA,756,0,52.8
134.1,SNOQUALMIE FALLS,6206,80,51.4
729.1,SPOKANE WFO,1708,541,46
51.8,STARTUP 1 E,6494,32,51.4
383.1,STEHEKIN 4 NW,3612,1243,48.4
227.7,SUNNYSIDE,750,88,53
7.6,TACOMA #1,3922,0,53.5
609.6,TOLT SOUTH FORK RSVR,9943,443,0
292.6,TONASKET 4 NNE,0,0,49.3
210.3,UPPER BAKER DAM,9793,428,47.8
64,VANCOUVER 4 NNE,4163,15,52
256.3,WAPATO,831,179,52.2
812,WATERVILLE,1140,0,45.7
5.2,WAUNA 3 W,5178,7,0
759,WELLPINIT,0,0,45.9
190.8,WENATCHEE,908,157,52.3
243.8,WENATCHEE EXP STN,956,330,50.7
192.6,WHITMAN MISSION,1452,89,51.6
686.7,WILBUR,1265,0,46.1
533.1,WINTHROP 1 WSW,1475,565,45.9
353.6,YAKIMA 5 WSW,867,0,51.3
350.5,YAKIMA #2,0,0,52.5
